,Day,Cluster_0_Expression
0,0,162
1,0,152
2,0,274
3,0,174
4,0,127
5,2,1137
6,2,1907
7,2,1190
8,4,1571
9,4,1766
10,4,2232
11,6,2347
12,6,4894
13,6,5647
14,0,65
15,0,81
16,0,183
17,0,95
18,0,70
19,2,11134
20,2,37671
21,2,17903
22,4,24227
23,4,29812
24,4,29863
25,6,17333
26,6,45289
27,6,44017
28,0,511
29,0,307
30,0,844
31,0,519
32,0,166
33,2,3238
34,2,5194
35,2,3934
36,4,6244
37,4,8947
38,4,6107
39,6,2979
40,6,6005
41,6,5452
42,0,462
43,0,371
44,0,812
45,0,464
46,0,202
47,2,2934
48,2,5609
49,2,4166
50,4,6061
51,4,7415
52,4,6807
53,6,3423
54,6,8733
55,6,9338
56,0,455
57,0,319
58,0,915
59,0,354
60,0,217
61,2,1544
62,2,2920
63,2,2491
64,4,3063
65,4,3323
66,4,3617
67,6,1464
68,6,3732
69,6,4676
70,0,263
71,0,191
72,0,603
73,0,263
74,0,159
75,2,1908
76,2,4172
77,2,2180
78,4,8400
79,4,10040
80,4,12535
81,6,5332
82,6,17190
83,6,26260
84,0,142
85,0,75
86,0,513
87,0,104
88,0,26
89,2,1360
90,2,3116
91,2,1679
92,4,4233
93,4,5441
94,4,5657
95,6,2308
96,6,5071
97,6,5332
98,0,324
99,0,315
100,0,539
101,0,414
102,0,250
103,2,2263
104,2,3169
105,2,2697
106,4,5538
107,4,6132
108,4,7078
109,6,4449
110,6,9600
111,6,11697
112,0,122
113,0,100
114,0,248
115,0,136
116,0,62
117,2,1895
118,2,4046
119,2,3136
120,4,4212
121,4,6048
122,4,5064
123,6,2052
124,6,5141
125,6,3822
126,0,828
127,0,512
128,0,1450
129,0,938
130,0,315
131,2,3632
132,2,5732
133,2,3693
134,4,5761
135,4,8272
136,4,6717
137,6,5578
138,6,10720
139,6,9571
140,0,290
141,0,239
142,0,720
143,0,271
144,0,155
145,2,2443
146,2,4321
147,2,3471
148,4,6669
149,4,7718
150,4,8111
151,6,2915
152,6,8078
153,6,8359
154,0,198
155,0,95
156,0,666
157,0,215
158,0,66
159,2,1551
160,2,2411
161,2,1603
162,4,4136
163,4,8189
164,4,5506
165,6,2702
166,6,5662
167,6,5848
168,0,276
169,0,139
170,0,1133
171,0,302
172,0,100
173,2,3316
174,2,7246
175,2,3685
176,4,12287
177,4,15663
178,4,15527
179,6,5564
180,6,12904
181,6,16594
182,0,181
183,0,125
184,0,570
185,0,162
186,0,99
187,2,3765
188,2,8408
189,2,5572
190,4,10633
191,4,13383
192,4,13752
193,6,4475
194,6,14238
195,6,14978
196,0,256
197,0,173
198,0,477
199,0,232
200,0,114
201,2,562
202,2,961
203,2,558
204,4,2374
205,4,2695
206,4,3412
207,6,1573
208,6,3890
209,6,5657
210,0,167
211,0,109
212,0,439
213,0,258
214,0,81
215,2,1309
216,2,2783
217,2,1615
218,4,1957
219,4,2262
220,4,2804
221,6,2085
222,6,5828
223,6,5719
224,0,836
225,0,602
226,0,1275
227,0,675
228,0,535
229,2,6802
230,2,13108
231,2,11084
232,4,15020
233,4,16951
234,4,16294
235,6,6731
236,6,16881
237,6,14098
238,0,423
239,0,261
240,0,832
241,0,350
242,0,195
243,2,6666
244,2,12278
245,2,8317
246,4,16254
247,4,20309
248,4,21792
249,6,9215
250,6,23411
251,6,27577
