,Day,Cluster_3_Expression
0,0,6079
1,0,4525
2,0,5991
3,0,4569
4,0,3638
5,0,6339
6,2,6934
7,2,6198
8,2,15549
9,4,10441
10,4,16159
11,4,24851
12,6,13260
13,6,9757
14,6,12397
15,0,5684
16,0,4515
17,0,3728
18,0,3827
19,0,5085
20,0,5008
21,2,2772
22,2,1910
23,2,4878
24,4,3509
25,4,5612
26,4,7860
27,6,5445
28,6,3252
29,6,4298
30,0,10365
31,0,8951
32,0,7303
33,0,7096
34,0,8762
35,0,10743
36,2,5848
37,2,5433
38,2,13648
39,4,8927
40,4,13026
41,4,19979
42,6,13260
43,6,9088
44,6,12126
45,0,3314
46,0,3728
47,0,2927
48,0,3151
49,0,3526
50,0,7540
51,2,3726
52,2,3190
53,2,7943
54,4,6745
55,4,10609
56,4,15982
57,6,13852
58,6,12838
59,6,16875
60,0,4833
61,0,3842
62,0,3535
63,0,2956
64,0,2463
65,0,5379
66,2,2877
67,2,3037
68,2,7763
69,4,5049
70,4,7439
71,4,12000
72,6,6272
73,6,5771
74,6,6643
75,0,4621
76,0,3175
77,0,5805
78,0,3855
79,0,2501
80,0,4926
81,2,6574
82,2,7182
83,2,15278
84,4,8265
85,4,15010
86,4,20741
87,6,10922
88,6,6876
89,6,8694
90,0,9072
91,0,7116
92,0,6162
93,0,6352
94,0,7346
95,0,8466
96,2,5220
97,2,4522
98,2,11342
99,4,7441
100,4,11278
101,4,16474
102,6,11061
103,6,7154
104,6,9744
105,0,2349
106,0,1407
107,0,3420
108,0,1939
109,0,1367
110,0,2499
111,2,4840
112,2,5904
113,2,14082
114,4,9272
115,4,15496
116,4,25210
117,6,11439
118,6,9408
119,6,10726
120,0,8460
121,0,6529
122,0,5012
123,0,3668
124,0,3453
125,0,7453
126,2,2872
127,2,2464
128,2,5876
129,4,4386
130,4,6746
131,4,11011
132,6,8998
133,6,5888
134,6,8603
135,0,6745
136,0,5455
137,0,4367
138,0,3674
139,0,3805
140,0,6528
141,2,2747
142,2,2389
143,2,5841
144,4,4695
145,4,7540
146,4,10722
147,6,7592
148,6,5528
149,6,6808
150,0,6346
151,0,5133
152,0,4321
153,0,4158
154,0,5009
155,0,6221
156,2,4039
157,2,3657
158,2,8436
159,4,5583
160,4,8333
161,4,12339
162,6,9975
163,6,6817
164,6,8374
165,0,5015
166,0,3657
167,0,3209
168,0,2523
169,0,2529
170,0,4217
171,2,2459
172,2,2938
173,2,8020
174,4,6540
175,4,7573
176,4,14068
177,6,12233
178,6,12285
179,6,13431
180,0,4819
181,0,2981
182,0,4427
183,0,3454
184,0,2440
185,0,5103
186,2,5329
187,2,3872
188,2,9043
189,4,6426
190,4,10874
191,4,14364
192,6,9457
193,6,5905
194,6,8043
195,0,5082
