,Day,Cluster_1_Expression
0,0,2324
1,0,1772
2,0,4167
3,0,2156
4,0,1619
5,2,10205
6,2,16477
7,2,15479
8,4,24564
9,4,25859
10,4,29247
11,6,9361
12,6,30442
13,6,27778
14,0,8796
15,0,6718
16,0,16695
17,0,8511
18,0,5479
19,2,12882
20,2,12723
21,2,13986
22,4,12743
23,4,14081
24,4,11611
25,6,6325
26,6,14333
27,6,16599
28,0,5323
29,0,4195
30,0,8480
31,0,5342
32,0,4243
33,2,10720
34,2,12735
35,2,11444
36,4,10062
37,4,13093
38,4,11242
39,6,6552
40,6,13094
41,6,13129
42,0,1553
43,0,1018
44,0,2059
45,0,1323
46,0,757
47,2,9016
48,2,19520
49,2,11580
50,4,16890
51,4,18743
52,4,18975
53,6,18469
54,6,37178
55,6,35564
56,0,2669
57,0,2566
58,0,4876
59,0,2062
60,0,1487
61,2,19375
62,2,29439
63,2,24462
64,4,53662
65,4,66800
66,4,69955
67,6,25424
68,6,64726
69,6,72367
70,0,11333
71,0,8202
72,0,18980
73,0,9786
74,0,9254
75,2,13603
76,2,12596
77,2,16167
78,4,11544
79,4,15915
80,4,12436
81,6,5323
82,6,11910
83,6,12261
84,0,1582
85,0,1346
86,0,2772
87,0,1312
88,0,874
89,2,12130
90,2,28085
91,2,19325
92,4,20250
93,4,24752
94,4,23282
95,6,9952
96,6,25027
97,6,19645
98,0,3290
99,0,2440
100,0,6071
101,0,3163
102,0,2119
103,2,8029
104,2,11938
105,2,8506
106,4,13655
107,4,15970
108,4,13677
109,6,9719
110,6,19857
111,6,20504
112,0,2250
113,0,1747
114,0,2956
115,0,1880
116,0,1142
117,2,16372
118,2,29019
119,2,21125
120,4,23517
121,4,24938
122,4,24885
123,6,17448
124,6,40862
125,6,37533
126,0,7329
127,0,5450
128,0,11135
129,0,6291
130,0,4517
131,2,11013
132,2,11162
133,2,10409
134,4,8137
135,4,7507
136,4,7017
137,6,4258
138,6,7685
139,6,7870
140,0,6394
141,0,4839
142,0,10915
143,0,7030
144,0,4122
145,2,16482
146,2,24031
147,2,18516
148,4,20436
149,4,32409
150,4,23231
151,6,11265
152,6,21922
153,6,19827
154,0,6316
155,0,4633
156,0,8300
157,0,6118
158,0,4240
159,2,10710
160,2,11935
161,2,11318
162,4,11259
163,4,15238
164,4,12814
165,6,9459
166,6,22691
167,6,26553
168,0,830
169,0,722
170,0,1628
171,0,803
172,0,482
173,2,10937
174,2,23405
175,2,17190
176,4,29224
177,4,35633
178,4,33433
179,6,15257
180,6,35319
181,6,32476
182,0,4043
183,0,2963
184,0,6008
185,0,3732
186,0,2543
187,2,14013
188,2,22473
189,2,18206
190,4,18836
191,4,23040
192,4,19600
193,6,9619
194,6,22469
195,6,19830
196,0,3719
197,0,2684
198,0,6030
199,0,3227
200,0,2602
201,2,24518
202,2,59267
203,2,42436
204,4,58089
205,4,63334
206,4,62227
207,6,42385
208,6,97838
209,6,85025
210,0,1949
211,0,1594
212,0,4264
213,0,1767
214,0,1603
215,2,20937
216,2,38780
217,2,35447
218,4,41294
219,4,37926
220,4,39063
221,6,18694
222,6,42140
223,6,38448
224,0,8510
225,0,6537
226,0,14967
227,0,7778
228,0,7710
229,2,13536
230,2,13030
231,2,15466
232,4,12592
233,4,17565
234,4,15244
235,6,6665
236,6,16643
237,6,18519
238,0,8953
239,0,7067
240,0,17938
241,0,10478
242,0,8232
243,2,15511
244,2,14098
245,2,16977
246,4,11384
247,4,16009
248,4,12452
249,6,8603
250,6,19848
251,6,22855
252,0,5864
253,0,4097
254,0,11245
255,0,6694
256,0,4429
257,2,16790
258,2,26012
259,2,20998
260,4,18397
261,4,19605
262,4,20009
263,6,19151
264,6,44309
265,6,43400
266,0,1301
267,0,954
268,0,3064
269,0,1285
270,0,694
271,2,15635
272,2,29579
273,2,23431
274,4,68184
275,4,83578
276,4,83065
277,6,26312
278,6,78482
279,6,84878
280,0,508
281,0,467
282,0,1068
283,0,510
284,0,362
285,2,10128
286,2,21036
287,2,17169
288,4,23793
289,4,25380
290,4,28536
291,6,10912
292,6,36333
293,6,31983
294,0,5016
295,0,3932
296,0,7582
297,0,4561
298,0,3768
299,2,13137
300,2,18403
301,2,16682
302,4,14472
303,4,17846
304,4,16161
305,6,12258
306,6,26175
307,6,26655
308,0,9210
309,0,8521
310,0,10657
311,0,4932
312,0,9352
313,2,10914
314,2,12225
315,2,14962
316,4,13056
317,4,16320
318,4,12472
319,6,5897
320,6,15699
321,6,18188
322,0,8348
323,0,5950
324,0,12179
325,0,7040
326,0,4938
327,2,29876
328,2,46962
329,2,35027
330,4,34582
331,4,43263
332,4,35929
333,6,20903
334,6,41112
335,6,37731
336,0,3118
337,0,2406
338,0,4795
339,0,2780
340,0,1899
341,2,10938
342,2,17062
343,2,14356
344,4,13450
345,4,15330
346,4,13771
347,6,8623
348,6,18904
349,6,17528
350,0,369
351,0,223
352,0,877
353,0,497
354,0,209
355,2,14242
356,2,42019
357,2,26296
358,4,44754
359,4,56321
360,4,51682
361,6,18117
362,6,59905
363,6,53424
364,0,1237
365,0,900
366,0,2302
367,0,1222
368,0,670
369,2,7753
370,2,11301
371,2,9563
372,4,11190
373,4,13094
374,4,11205
375,6,5657
376,6,13593
377,6,12857
378,0,5855
379,0,4006
380,0,10369
381,0,5909
382,0,2840
383,2,16286
384,2,24542
385,2,19121
386,4,21833
387,4,26628
388,4,21000
389,6,12426
390,6,24756
391,6,21430
392,0,9820
393,0,7260
394,0,14704
395,0,9247
396,0,6397
397,2,17510
398,2,18469
399,2,18949
400,4,16295
401,4,19469
402,4,14878
403,6,8104
404,6,17705
405,6,15360
406,0,3204
407,0,2280
408,0,4934
409,0,3145
410,0,1775
411,2,13496
412,2,19505
413,2,16244
414,4,19123
415,4,24874
416,4,20638
417,6,10448
418,6,22589
419,6,21149
420,0,2515
421,0,1733
422,0,4157
423,0,2394
424,0,1493
425,2,10293
426,2,16533
427,2,12663
428,4,18510
429,4,22027
430,4,21731
431,6,14646
432,6,33063
433,6,33932
434,0,13947
435,0,9654
436,0,20784
437,0,11940
438,0,7326
439,2,22965
440,2,24737
441,2,22345
442,4,18562
443,4,19156
444,4,14551
445,6,9055
446,6,16764
447,6,11554
448,0,7930
449,0,5578
450,0,11605
451,0,7280
452,0,4994
453,2,15497
454,2,18213
455,2,18560
456,4,14600
457,4,18166
458,4,13859
459,6,6093
460,6,14565
461,6,13616
462,0,6054
463,0,4213
464,0,9711
465,0,5308
466,0,4792
467,2,10467
468,2,14301
469,2,14204
470,4,9780
471,4,12199
472,4,11346
473,6,6804
474,6,16054
475,6,15978
476,0,8386
477,0,5972
478,0,12974
479,0,7622
480,0,6000
481,2,25858
482,2,41434
483,2,33282
484,4,34493
485,4,43278
486,4,40448
487,6,17295
488,6,38621
489,6,35125
