,Day,Cluster_8_Expression
0,0,1991
1,0,1649
2,0,2421
3,0,1381
4,0,1496
5,2,2302
6,2,1729
7,2,2600
8,4,1754
9,4,2066
10,4,1314
11,6,872
12,6,2067
13,6,2597
14,0,1998
15,0,1438
16,0,3013
17,0,2031
18,0,1028
19,2,2691
20,2,1858
21,2,3506
22,4,1440
23,4,1316
24,4,1054
25,6,406
26,6,994
27,6,891
28,0,1396
29,0,995
30,0,2145
31,0,1279
32,0,841
33,2,2219
34,2,2466
35,2,2357
36,4,2434
37,4,2567
38,4,2495
39,6,1441
40,6,3626
41,6,3966
42,0,404
43,0,293
44,0,761
45,0,385
46,0,269
47,2,1460
48,2,2151
49,2,1771
50,4,2476
51,4,2884
52,4,2688
53,6,1608
54,6,4214
55,6,4427
56,0,1946
57,0,1397
58,0,2802
59,0,1602
60,0,1151
61,2,3241
62,2,3353
63,2,3613
64,4,2941
65,4,3291
66,4,2945
67,6,1590
68,6,3816
69,6,4078
70,0,786
71,0,621
72,0,1636
73,0,819
74,0,687
75,2,1292
76,2,2037
77,2,1797
78,4,2124
79,4,2189
80,4,2380
81,6,1178
82,6,3088
83,6,3128
84,0,1304
85,0,1153
86,0,2155
87,0,1143
88,0,1113
89,2,2197
90,2,2046
91,2,2628
92,4,1469
93,4,2213
94,4,1695
95,6,1003
96,6,2368
97,6,2153
98,0,546
99,0,396
100,0,970
101,0,680
102,0,431
103,2,1576
104,2,2346
105,2,2107
106,4,1921
107,4,2335
108,4,2465
109,6,938
110,6,2553
111,6,2733
112,0,2973
113,0,2359
114,0,4907
115,0,2581
116,0,2243
117,2,4946
118,2,4287
119,2,5898
120,4,2095
121,4,1694
122,4,1050
123,6,687
124,6,1545
125,6,937
126,0,1819
127,0,1358
128,0,3228
129,0,1841
130,0,1419
131,2,2861
132,2,2415
133,2,3049
134,4,2081
135,4,2460
136,4,1738
137,6,987
138,6,2040
139,6,1790
140,0,1141
141,0,977
142,0,2029
143,0,1048
144,0,964
145,2,1946
146,2,1799
147,2,2090
148,4,1629
149,4,1770
150,4,1527
151,6,801
152,6,1965
153,6,2059
154,0,1276
155,0,815
156,0,1908
157,0,1195
158,0,806
159,2,1858
160,2,1480
161,2,1924
162,4,1414
163,4,1750
164,4,1443
165,6,817
166,6,1873
167,6,1929
168,0,601
169,0,479
170,0,884
171,0,551
172,0,308
173,2,1023
174,2,1266
175,2,1374
176,4,1352
177,4,1638
178,4,1623
179,6,896
180,6,1738
181,6,2287
182,0,1311
183,0,976
184,0,1893
185,0,978
186,0,679
187,2,2237
188,2,2188
189,2,2379
190,4,1964
191,4,1898
192,4,1929
193,6,997
194,6,2591
195,6,2802
196,0,1165
197,0,834
198,0,1676
199,0,1039
200,0,599
201,2,2439
202,2,3191
203,2,3042
204,4,2251
205,4,3307
206,4,2554
207,6,1408
208,6,3009
209,6,3002
210,0,1028
211,0,620
212,0,1373
213,0,781
214,0,1240
215,2,2651
216,2,3621
217,2,3557
218,4,2126
219,4,3291
220,4,2566
221,6,1395
222,6,2910
223,6,2917
224,0,1273
225,0,1028
226,0,2312
227,0,1386
228,0,842
229,2,2517
230,2,2572
231,2,2762
232,4,2292
233,4,3202
234,4,2395
235,6,1603
236,6,3650
237,6,3839
238,0,842
239,0,683
240,0,1318
241,0,821
242,0,487
243,2,1625
244,2,1935
245,2,1828
246,4,1461
247,4,1633
248,4,1367
249,6,820
250,6,1846
251,6,1714
252,0,1033
253,0,899
254,0,1711
255,0,1040
256,0,693
257,2,1832
258,2,1683
259,2,1924
260,4,1161
261,4,1623
262,4,1118
263,6,687
264,6,1530
265,6,1480
266,0,2987
267,0,2315
268,0,4493
269,0,2561
270,0,1969
271,2,3708
272,2,2400
273,2,4046
274,4,1857
275,4,1893
276,4,1158
277,6,459
278,6,1088
279,6,781
280,0,1789
281,0,1525
282,0,2673
283,0,1662
284,0,1365
285,2,2790
286,2,2128
287,2,3068
288,4,1872
289,4,1767
290,4,1463
291,6,712
292,6,1878
293,6,1949
294,0,2503
295,0,1768
296,0,3916
297,0,2252
298,0,1570
299,2,3341
300,2,2892
301,2,3611
302,4,2362
303,4,2620
304,4,2195
305,6,1142
306,6,2361
307,6,2184
308,0,1092
309,0,825
310,0,1879
311,0,1167
312,0,549
313,2,2488
314,2,3171
315,2,2829
316,4,2927
317,4,3548
318,4,3115
319,6,1095
320,6,2757
321,6,2664
322,0,584
323,0,521
324,0,1395
325,0,676
326,0,720
327,2,1465
328,2,1398
329,2,1671
330,4,1484
331,4,2080
332,4,2123
333,6,1080
334,6,2920
335,6,3709
336,0,1177
337,0,876
338,0,2006
339,0,1113
340,0,926
341,2,1781
342,2,1179
343,2,1798
344,4,985
345,4,905
346,4,641
347,6,320
348,6,749
349,6,674
