,Day,Cluster_1_Expression
0,0,4858
1,0,3245
2,0,6270
3,0,3369
4,0,2084
5,0,6887
6,2,8487
7,2,8762
8,2,17222
9,4,20650
10,4,32972
11,4,49489
12,6,22378
13,6,20129
14,6,22506
15,0,13567
16,0,10668
17,0,8613
18,0,7559
19,0,7636
20,0,11950
21,2,5681
22,2,4920
23,2,13380
24,4,9386
25,4,13885
26,4,23563
27,6,16969
28,6,11751
29,6,13457
30,0,11624
31,0,7998
32,0,7524
33,0,6495
34,0,5551
35,0,12200
36,2,5074
37,2,5050
38,2,11556
39,4,9000
40,4,12641
41,4,17702
42,6,14850
43,6,12555
44,6,18350
45,0,2327
46,0,1611
47,0,2088
48,0,1324
49,0,1255
50,0,1954
51,2,6729
52,2,8757
53,2,20849
54,4,12157
55,4,14213
56,4,30831
57,6,27776
58,6,26872
59,6,28663
60,0,14497
61,0,8609
62,0,9776
63,0,9250
64,0,2659
65,0,16436
66,2,11083
67,2,14126
68,2,32760
69,4,47706
70,4,62268
71,4,99265
72,6,49206
73,6,47322
74,6,61622
75,0,13944
76,0,10582
77,0,9112
78,0,9136
79,0,10359
80,0,14268
81,2,5967
82,2,4371
83,2,11550
84,4,8427
85,4,14393
86,4,15162
87,6,11247
88,6,8305
89,6,12132
90,0,2495
91,0,1590
92,0,3877
93,0,2623
94,0,1343
95,0,3028
96,2,7967
97,2,12469
98,2,27026
99,4,13967
100,4,18878
101,4,38735
102,6,13126
103,6,9194
104,6,10907
105,0,5887
106,0,3676
107,0,4088
108,0,3763
109,0,3012
110,0,4721
111,2,3598
112,2,6165
113,2,16064
114,4,11460
115,4,11668
116,4,25057
117,6,20291
118,6,16735
119,6,20952
120,0,3533
121,0,2494
122,0,5358
123,0,3409
124,0,1867
125,0,3777
126,2,11439
127,2,13707
128,2,26860
129,4,17410
130,4,25060
131,4,42791
132,6,38519
133,6,30857
134,6,33377
135,0,17563
136,0,14072
137,0,11597
138,0,7041
139,0,6342
140,0,17832
141,2,6774
142,2,6183
143,2,14516
144,4,7820
145,4,13432
146,4,21370
147,6,21701
148,6,11734
149,6,19108
150,0,8207
151,0,5743
152,0,8728
153,0,6072
154,0,6980
155,0,7688
156,2,9016
157,2,8430
158,2,26726
159,4,15708
160,4,25911
161,4,40482
162,6,16048
163,6,13866
164,6,15332
165,0,9227
166,0,7327
167,0,6031
168,0,5882
169,0,6345
170,0,8772
171,2,4343
172,2,4487
173,2,14524
174,4,7819
175,4,12823
176,4,19927
177,6,16339
178,6,13386
179,6,16216
180,0,2959
181,0,1335
182,0,6666
183,0,2983
184,0,716
185,0,3859
186,2,9820
187,2,13345
188,2,27971
189,4,21638
190,4,32157
191,4,54613
192,6,20205
193,6,17815
194,6,22595
195,0,5574
196,0,4048
197,0,6026
198,0,4648
199,0,3588
200,0,5435
201,2,7730
202,2,9528
203,2,20234
204,4,14296
205,4,22591
206,4,32834
207,6,16054
208,6,10563
209,6,14533
210,0,4411
211,0,3194
212,0,7821
213,0,4361
214,0,2977
215,0,4824
216,2,15086
217,2,27502
218,2,60644
219,4,38803
220,4,50229
221,4,102585
222,6,45616
223,6,40603
224,6,38775
225,0,4799
226,0,2909
227,0,9319
228,0,4587
229,0,1943
230,0,5732
231,2,16298
232,2,20584
233,2,35199
234,4,28385
235,4,44645
236,4,68029
237,6,27779
238,6,22538
239,6,27010
240,0,10996
241,0,9840
242,0,7712
243,0,7008
244,0,7834
245,0,12898
246,2,5830
247,2,4890
248,2,10537
249,4,9448
